pc,var_ratio,factor,kind,r2,r2_chance,excess,p,n_groups,weighted
PC3,0.06209946471086226,組成:Adipocytes,細胞組成,0.025321005987787415,0.005030671083090504,0.02029033490469691,0.004975124378109453,5,0.002836099152023861
PC3,0.06209946471086226,組成:Endothelial Cells,細胞組成,0.034118575643667826,0.0052649882351054125,0.028853587408562413,0.004975124378109453,5,0.00403303519466933
PC3,0.06209946471086226,組成:Fibroblasts,細胞組成,0.033879308236154926,0.0049430211254278605,0.028936287110727064,0.004975124378109453,5,0.004044594617235958
PC3,0.06209946471086226,組成:Macrophages,細胞組成,0.02444540085730529,0.004920339895986598,0.019525060961318688,0.004975124378109453,5,0.0027291323231333963
PC4,0.048395714429030456,SMRIN,技術,0.0058482869536465865,0.004982239079398038,0.0008660478742485486,0.31840796019900497,5,9.433940730545018e-05
PC4,0.048395714429030456,SMTSISCH,技術,0.04883912234429488,0.005326058331234888,0.043513064013059995,0.004975124378109453,5,0.004739918878731747
PC4,0.048395714429030456,SMGEBTCH,技術,0.23938721291816933,0.2607995831756595,-0.021412370257490154,0.835820895522388,209,-0.002332469577215011
PC4,0.048395714429030456,SMNABTCH,技術,0.4982204725006455,0.43095082102413573,0.06726965147650976,0.01990049751243781,344,0.007327746235096505
PC4,0.048395714429030456,SMCENTER,技術,0.0037687408594095917,0.004113752438016163,-0.0003450115786065716,0.373134328358209,4,-3.7582434882717165e-05
PC4,0.048395714429030456,AGE,生物学,0.018737233426469824,0.006320210608100522,0.012417022818369303,0.01990049751243781,6,0.0013525979429250632
PC4,0.048395714429030456,SEX,生物学,0.00010622807351046148,0.001381909789770328,-0.0012756817162598666,0.7810945273631841,2,-0.0001389612059573241
PC4,0.048395714429030456,DTHHRDY,生物学,0.07196858868422396,0.0060706840487758955,0.06589790463544806,0.004975124378109453,6,0.007178320564984249
PC4,0.048395714429030456,組成:Myocytes,細胞組成,0.024952962697053604,0.004916275719831097,0.02003668697722251,0.004975124378109453,5,0.002182615107087623
PC4,0.048395714429030456,組成:Satellite Cells,細胞組成,0.0507810491493661,0.005072794061578805,0.045708255087787295,0.004975124378109453,5,0.004979043101618015
PC4,0.048395714429030456,組成:Adipocytes,細胞組成,0.0028802221138077844,0.005247924435313024,-0.0023677023215052393,0.7213930348258707,5,-0.0002579160348154588
PC4,0.048395714429030456,組成:Endothelial Cells,細胞組成,0.01046481652977227,0.005173790177048985,0.0052910263527232845,0.08955223880597014,5,0.0005763564636499297
PC4,0.048395714429030456,組成:Fibroblasts,細胞組成,0.006346022166302867,0.004479622678848581,0.0018663994874542865,0.21890547263681592,5,0.00020330864687406568
PC4,0.048395714429030456,組成:Macrophages,細胞組成,0.007818338811216297,0.004554689157198478,0.0032636496540178186,0.14925373134328357,5,0.0003555124181556694
PC5,0.043870047877594874,SMRIN,技術,0.01713141269670526,0.005183167116736209,0.011948245579969052,0.014925373134328358,5,0.0011798222623577524
PC5,0.043870047877594874,SMTSISCH,技術,0.007910909988118164,0.0055816303799821835,0.002329279608135981,0.21393034825870647,5,0.00023000330203640576
PC5,0.043870047877594874,SMGEBTCH,技術,0.3295394304283613,0.2611159214933933,0.06842350893496801,0.004975124378109453,209,0.006756437886198765
PC5,0.043870047877594874,SMNABTCH,技術,0.5403427013006333,0.42536252969534316,0.11498017160529017,0.004975124378109453,344,0.01135364730174783
PC5,0.043870047877594874,SMCENTER,技術,0.014240922895307428,0.003575268017430506,0.010665654877876922,0.024875621890547265,4,0.0010531736214595233
PC5,0.043870047877594874,AGE,生物学,0.008236725464953576,0.006368726676749334,0.0018679987882042415,0.25870646766169153,6,0.00018445440727092726
PC5,0.043870047877594874,SEX,生物学,0.007933660402497766,0.0010893766697673629,0.006844283732730404,0.009950248756218905,2,0.0006758346456575981
PC5,0.043870047877594874,DTHHRDY,生物学,0.013842598841091736,0.006197686264957933,0.007644912576133802,0.024875621890547265,6,0.0007548922551627683
PC5,0.043870047877594874,組成:Myocytes,細胞組成,0.07071979832457131,0.004920649556047861,0.06579914876852345,0.004975124378109453,5,0.006497297033418921
PC5,0.043870047877594874,組成:Satellite Cells,細胞組成,0.14065802351674372,0.005565216875869619,0.1350928066408741,0.004975124378109453,5,0.013339657248634097
PC5,0.043870047877594874,組成:Adipocytes,細胞組成,0.06731247604421398,0.004903312920657201,0.06240916312355677,0.004975124378109453,5,0.006162554957167149
PC5,0.043870047877594874,組成:Endothelial Cells,細胞組成,0.0667438489930402,0.005131403451170567,0.061612445541869634,0.004975124378109453,5,0.0060838835628277
PC5,0.043870047877594874,組成:Fibroblasts,細胞組成,0.029033812616258814,0.004671543490863746,0.024362269125395068,0.004975124378109453,5,0.0024056374873880422
PC5,0.043870047877594874,組成:Macrophages,細胞組成,0.02775108450636754,0.004943112600853127,0.022807971905514413,0.004975124378109453,5,0.0022521593511995565
