sample,individual,condition
EU284|L,EU284,L
EU284|NI,EU284,NI
EU284|S,EU284,S
EU286|L,EU286,L
EU286|NI,EU286,NI
EU286|S,EU286,S
EU288|L,EU288,L
EU288|NI,EU288,NI
EU288|S,EU288,S
EU290|L,EU290,L
EU290|NI,EU290,NI
EU290|S,EU290,S
EU298|L,EU298,L
EU298|NI,EU298,NI
EU298|S,EU298,S
EU300|L,EU300,L
EU300|NI,EU300,NI
EU300|S,EU300,S
EU302|L,EU302,L
EU302|NI,EU302,NI
EU302|S,EU302,S
EU306|L,EU306,L
EU306|NI,EU306,NI
EU306|S,EU306,S
EU40|L,EU40,L
EU40|S,EU40,S
EU56|L,EU56,L
EU56|NI,EU56,NI
EU96|L,EU96,L
EU96|NI,EU96,NI
EU96|S,EU96,S
