pc,var_ratio,shared_between,value,weighted
PC3,0.08286980358276266,その他の技術 x 安定した個人属性 x 血球組成,0.0005745167281614449,7.79106624432962e-05
PC3,0.08286980358276266,その他の技術 x 採取時の状況 x 血球組成,-0.0007750476772990789,-0.0001051048211542078
PC3,0.08286980358276266,その他の技術 x 安定した個人属性 x 採取時の状況 x 血球組成,0.012174981085443237,0.0016510586987380615
PC4,0.06558896205029993,安定した個人属性 x 採取時の状況,0.0010415770463629848,0.00011179440473118522
PC4,0.06558896205029993,その他の技術 x 安定した個人属性,0.000859263822467593,9.222638678073423e-05
PC4,0.06558896205029993,安定した個人属性 x 血球組成,0.002086802171417601,0.00022398036454431813
PC4,0.06558896205029993,その他の技術 x 採取時の状況,0.003167575748701301,0.00033998180595810873
PC4,0.06558896205029993,採取時の状況 x 血球組成,0.030192936611509125,0.003240664132678822
PC4,0.06558896205029993,その他の技術 x 血球組成,-0.02518934537319778,-0.002703619363923183
PC4,0.06558896205029993,その他の技術 x 安定した個人属性 x 採取時の状況,-0.002772974676807982,-0.0002976285378128086
PC4,0.06558896205029993,安定した個人属性 x 採取時の状況 x 血球組成,-0.003894383161385795,-0.00041799139952490046
PC4,0.06558896205029993,その他の技術 x 安定した個人属性 x 血球組成,0.0019037471392611138,0.00020433272693129543
PC4,0.06558896205029993,その他の技術 x 採取時の状況 x 血球組成,0.02223748180977514,0.002386790348659433
PC4,0.06558896205029993,その他の技術 x 安定した個人属性 x 採取時の状況 x 血球組成,0.0008664488272696613,9.299756673102473e-05
PC5,0.03256324993056438,安定した個人属性 x 採取時の状況,-0.00025071515999991467,-1.3359993497990214e-05
PC5,0.03256324993056438,その他の技術 x 安定した個人属性,-0.0010634779140258899,-5.667011925663737e-05
PC5,0.03256324993056438,安定した個人属性 x 血球組成,-0.0013673560435265575,-7.286303648713803e-05
PC5,0.03256324993056438,その他の技術 x 採取時の状況,0.004286068942657262,0.00022839405964066275
PC5,0.03256324993056438,採取時の状況 x 血球組成,0.009308733916768841,0.0004960395079523513
PC5,0.03256324993056438,その他の技術 x 血球組成,0.009960052748602843,0.0005307466846481036
PC5,0.03256324993056438,その他の技術 x 安定した個人属性 x 採取時の状況,0.0021392026209544057,0.00011399283994970312
PC5,0.03256324993056438,安定した個人属性 x 採取時の状況 x 血球組成,0.0051745756174571,0.00027574039242026324
PC5,0.03256324993056438,その他の技術 x 安定した個人属性 x 血球組成,0.005871124701614938,0.0003128577778842413
PC5,0.03256324993056438,その他の技術 x 採取時の状況 x 血球組成,0.0012964159635324712,6.908281431202815e-05
PC5,0.03256324993056438,その他の技術 x 安定した個人属性 x 採取時の状況 x 血球組成,-0.002076521846212598,-0.00011065273581320087
