pc,var_ratio,factor,kind,r2,r2_chance,excess,p,n_groups,weighted
PC2,0.13689517059310888,組成:Platelets,血球組成,0.080317056947387,0.005411048284284819,0.07490600866310218,0.004975124378109453,5,0.01678041482657677
PC3,0.08286980358276266,SMRIN,技術,0.043091059356774264,0.0053739645205928555,0.03771709483618141,0.004975124378109453,5,0.0051148447035257675
PC3,0.08286980358276266,SMTSISCH,技術,0.14683266973825193,0.005550813637161743,0.14128185610109018,0.004975124378109453,5,0.019159342905958353
PC3,0.08286980358276266,SMGEBTCH,技術,0.21327713141528126,0.18151757793810577,0.03175955347717549,0.08955223880597014,138,0.004306937864504965
PC3,0.08286980358276266,SMNABTCH,技術,0.4651867962960241,0.44441475865721886,0.020772037638805252,0.21393034825870647,335,0.002816912255828386
PC3,0.08286980358276266,SMCENTER,技術,0.026186404520557427,0.002787512991828912,0.023398891528728514,0.004975124378109453,3,0.003173141964510009
PC3,0.08286980358276266,AGE,生物学,0.05273488677997906,0.006568628522940077,0.04616625825703899,0.004975124378109453,6,0.0062606423573509104
PC3,0.08286980358276266,SEX,生物学,0.00029801396366369026,0.0014109817417883557,-0.0011129677781246655,0.6368159203980099,2,-0.00015093043008378555
PC3,0.08286980358276266,DTHHRDY,生物学,0.1724097016594417,0.006682309787817695,0.165727391871624,0.004975124378109453,6,0.02247442111396552
PC3,0.08286980358276266,組成:Neutrophils,血球組成,0.03962631661750404,0.0050992113771450185,0.03452710524035903,0.004975124378109453,5,0.00468224772172317
PC3,0.08286980358276266,組成:T Cells Naive,血球組成,0.13040424129004868,0.005660795811841486,0.1247434454782072,0.004975124378109453,5,0.01691655611798867
PC3,0.08286980358276266,組成:B Cells,血球組成,0.08929769704522261,0.005323948145939982,0.08397374889928264,0.004975124378109453,5,0.011387745706773627
PC3,0.08286980358276266,組成:NK Cells,血球組成,0.024282648648076388,0.005148092367925331,0.01913455628015106,0.009950248756218905,5,0.0025948521292249943
PC3,0.08286980358276266,組成:Monocytes,血球組成,0.011699032003875454,0.005246989914024454,0.006452042089851,0.08955223880597014,5,0.0008749664695421396
PC3,0.08286980358276266,組成:Platelets,血球組成,0.03048306293137304,0.005242485379894104,0.025240577551478936,0.004975124378109453,5,0.0034228944451805523
PC4,0.06558896205029993,SMRIN,技術,0.029913455287493118,0.005316281945783954,0.024597173341709164,0.004975124378109453,5,0.0026400604366312542
PC4,0.06558896205029993,SMTSISCH,技術,0.006020017622491158,0.005028893517662636,0.000991124104828522,0.34328358208955223,5,0.00010637919652793444
PC4,0.06558896205029993,SMGEBTCH,技術,0.2409902038035735,0.18309740480661618,0.05789279899695732,0.024875621890547265,138,0.006213741964347692
PC4,0.06558896205029993,SMNABTCH,技術,0.4623967313730135,0.44547199135755206,0.01692474001546146,0.3034825870646766,335,0.0018165638748141148
PC4,0.06558896205029993,SMCENTER,技術,0.013314582368440075,0.0027789659164856066,0.010535616451954468,0.014925373134328358,3,0.001130807340498809
PC4,0.06558896205029993,AGE,生物学,0.006919437948486595,0.006477673057691221,0.00044176489079537397,0.3582089552238806,6,4.741544868913595e-05
