cohort,signature,n_symbols,n_present,coverage,logrank_p,hr_raw,p_raw,hr_adj,p_adj,pcna_cor,retention,excluded
Loi OS,WEST,468,447,0.9551,0.135007,0.7364,0.136174,1.0286,0.901826,-0.4639,0.092,
Loi OS,WHITFIELD,587,574,0.9779,5e-06,2.6314,1.1e-05,2.2367,0.015503,0.9822,0.832,
Loi OS,WONG-ESC,335,324,0.9672,5.3e-05,2.3431,8.7e-05,1.7065,0.098792,0.9574,0.6277,
Loi OS,WONG-MITOCHON,217,214,0.9862,1.2e-05,2.5209,2.4e-05,1.982,0.006311,0.5912,0.7399,
Loi OS,WONG-PROTEAS,46,46,1.0,0.002655,1.8669,0.0031,1.1666,0.58386,0.7932,0.2468,
Loi OS,YU,14,14,1.0,1e-05,0.3973,1.9e-05,0.4491,0.000273,-0.2578,0.8672,
Loi RFS,ABBA,111,110,0.991,1e-06,2.3099,3e-06,2.0531,0.010432,0.9898,0.8592,
Loi RFS,ADORNO,2,2,1.0,,,,,,,,検出 2 遺伝子
Loi RFS,BEN-PORATH-EXP1,367,355,0.9673,6e-06,2.1841,1e-05,1.7657,0.034611,0.9519,0.7277,
Loi RFS,BEN-PORATH-PRC2,631,561,0.8891,0.084775,1.3421,0.085865,1.1645,0.387706,0.1545,0.5176,
Loi RFS,BUESS,30,29,0.9667,0.651832,1.0796,0.65175,0.873,0.440705,0.3446,1.7731,
Loi RFS,BUFFA,3,3,1.0,0.002317,1.6851,0.002596,1.4156,0.054843,0.3547,0.6659,
Loi RFS,CARTER,70,69,0.9857,1e-06,2.318,2e-06,2.0684,0.009401,0.9908,0.8645,
Loi RFS,CHANG,355,350,0.9859,1.8e-05,2.095,2.7e-05,1.6061,0.058163,0.9048,0.6406,
Loi RFS,CHI,136,129,0.9485,0.320895,1.1837,0.321221,1.0237,0.893907,0.2473,0.1386,
Loi RFS,CRAWFORD,377,363,0.9629,1e-06,2.3175,2e-06,2.0729,0.00952,0.9858,0.8673,
Loi RFS,DAI,35,35,1.0,6e-06,2.1895,1e-05,1.7798,0.033792,0.9772,0.7356,
Loi RFS,GLINSKY,11,11,1.0,2e-06,2.281,4e-06,1.9393,0.012158,0.9409,0.8032,
Loi RFS,HALLSTROM,78,72,0.9231,3e-06,2.2298,6e-06,1.8676,0.023205,0.9751,0.7789,
Loi RFS,HE,6,0,0.0,,,,,,,,被覆率 <60%
Loi RFS,HU,13,13,1.0,0.001611,1.7185,0.001834,1.3452,0.123534,0.4796,0.5477,
Loi RFS,HUA,1345,1289,0.9584,1.8e-05,0.4764,2.8e-05,0.6194,0.046286,-0.8527,0.646,
Loi RFS,IVSHINA,17,17,1.0,2.2e-05,2.0796,3.3e-05,1.5725,0.093718,0.9653,0.6183,
Loi RFS,KOK,179,172,0.9609,4e-06,2.2171,8e-06,1.813,0.02313,0.9382,0.7473,
Loi RFS,KORKOLA,21,20,0.9524,0.007083,1.5809,0.007601,1.0915,0.675428,0.7324,0.1911,
Loi RFS,LIU,167,159,0.9521,0.000116,1.9407,0.000153,1.4363,0.105171,0.7635,0.5461,
Loi RFS,MA,30,30,1.0,1e-06,2.3557,2e-06,2.1352,0.006222,0.9811,0.8853,
Loi RFS,META-PCNA,129,127,0.9845,4e-06,2.2135,7e-06,1.8514,0.029996,1.0,0.7752,
Loi RFS,MILLER,18,18,1.0,0.006986,0.631,0.007489,0.966,0.87621,-0.7359,0.0751,
Loi RFS,MORI,156,145,0.9295,0.001349,1.7281,0.001542,1.3527,0.113039,0.5257,0.5523,
Loi RFS,PAIK,16,16,1.0,5e-06,2.197,9e-06,1.7701,0.023913,0.8781,0.7255,
Loi RFS,PAWITAN,46,44,0.9565,0.000184,1.9028,0.000235,1.3042,0.299226,0.9253,0.4129,
Loi RFS,PEI,2,2,1.0,,,,,,,,検出 2 遺伝子
Loi RFS,RAMASWAMY,16,16,1.0,0.002937,0.6015,0.003253,0.9211,0.720606,-0.7739,0.1616,
Loi RFS,REUTER,714,698,0.9776,0.426239,0.8734,0.426053,1.0069,0.968432,-0.2365,0.0508,
Loi RFS,RHODES,67,67,1.0,2.8e-05,2.0539,4.2e-05,1.5267,0.125215,0.9777,0.5878,
Loi RFS,SAAL,162,158,0.9753,0.0,2.6239,0.0,2.6942,0.000267,0.9583,1.0274,
Loi RFS,SHIPITSIN,56,55,0.9821,0.000511,1.8106,0.000613,1.2996,0.232171,0.6846,0.4414,
Loi RFS,SORLIE,15,14,0.9333,0.51854,1.1157,0.518897,1.2516,0.189361,-0.1516,2.0488,
Loi RFS,SOTIRIOU-93,343,338,0.9854,0.001036,1.7502,0.0012,1.1041,0.694301,0.8995,0.177,
Loi RFS,SOTIRIOU-GGI,90,89,0.9889,5e-06,2.1967,9e-06,1.8061,0.034446,0.9837,0.7512,
Loi RFS,TAUBE,242,231,0.9545,0.092096,0.7504,0.093114,0.9636,0.841355,-0.4182,0.129,
Loi RFS,TAVAZOIE,6,6,1.0,0.421777,1.1462,0.422135,1.3972,0.060018,-0.2139,2.4514,
Loi RFS,VALASTYAN,6,6,1.0,0.550918,0.9035,0.551049,1.0345,0.84588,-0.2277,0.3341,
Loi RFS,VANTVEER,60,60,1.0,1.3e-05,2.1131,2.1e-05,1.6359,0.059411,0.9378,0.6579,
Loi RFS,WANG-76,68,64,0.9412,1e-06,2.3493,2e-06,2.0401,0.005129,0.9044,0.8348,
Loi RFS,WANG-ALK5T204D,239,226,0.9456,0.007458,1.5813,0.007968,1.1545,0.475294,0.5231,0.3134,
Loi RFS,WELM,3,3,1.0,0.042422,0.7083,0.043507,0.7403,0.07896,-0.1674,0.8718,
Loi RFS,WEST,468,447,0.9551,0.069874,0.7347,0.070903,0.9754,0.895376,-0.4642,0.0807,
Loi RFS,WHITFIELD,587,574,0.9779,8e-06,2.1673,1.3e-05,1.7376,0.043956,0.982,0.7143,
Loi RFS,WONG-ESC,335,324,0.9672,2.2e-05,2.0783,3.4e-05,1.5708,0.090113,0.9571,0.6173,
Loi RFS,WONG-MITOCHON,217,214,0.9862,6.9e-05,1.9806,9.4e-05,1.5478,0.030475,0.5869,0.6392,
Loi RFS,WONG-PROTEAS,46,46,1.0,0.000904,1.7669,0.001056,1.1934,0.447608,0.7852,0.3106,
