pc,var_ratio,kind,factor,r2,r2_chance,r2_excess,p,n_groups
PC3,0.043935496334471656,technical,batch effect_date,1.7763568394002505e-15,0.021111142019112804,-0.021111142019111028,1.0,5
PC3,0.043935496334471656,technical,rna integrity score,0.007085232010471176,0.021913685904132674,-0.014828453893661497,0.9203980099502488,5
PC3,0.043935496334471656,biological,gender,0.035394123551744316,0.004633433973981713,0.030760689577762602,0.004975124378109453,2
PC3,0.043935496334471656,biological,age,0.025540470276505634,0.020546624669296153,0.004993845607209481,0.31343283582089554,5
PC3,0.043935496334471656,biological,percentage of body fat,0.054139706145586275,0.022545103615367153,0.03159460253021912,0.03980099502487562,5
PC3,0.043935496334471656,biological,ethnicity,0.06297121876749712,0.015482867997635714,0.0474883507698614,0.009950248756218905,4
PC3,0.043935496334471656,composition,Neutrophils,0.038070625758028775,0.021932777633409496,0.01613784812461928,0.12935323383084577,5
PC3,0.043935496334471656,composition,T Cells Naive,0.005238715946895178,0.020539916511115794,-0.015301200564220616,0.9253731343283582,5
PC3,0.043935496334471656,composition,B Cells,0.003810782384373379,0.0200792894961962,-0.01626850711182282,0.9353233830845771,5
PC3,0.043935496334471656,composition,NK Cells,0.03275944453869695,0.020804101108834606,0.01195534342986234,0.1890547263681592,5
PC3,0.043935496334471656,composition,Platelets,0.045571867678876665,0.02185388143483868,0.023717986244037984,0.07462686567164178,5
PC3,0.043935496334471656,composition,Monocytes,0.04630986771892065,0.02194153056098596,0.02436833715793469,0.0945273631840796,5
PC4,0.032251261872407636,technical,plate id,0.50494536252907,0.08612798178692524,0.4188173807421447,0.004975124378109453,17
PC4,0.032251261872407636,technical,chip_position,0.035182500718384024,0.05863920032077223,-0.023456699602388206,0.8159203980099502,12
PC4,0.032251261872407636,technical,batch effect_date,4.440892098500626e-16,0.021852226479724193,-0.02185222647972375,1.0,5
PC4,0.032251261872407636,technical,rna integrity score,0.09151150214928949,0.02127046149177806,0.07024104065751144,0.004975124378109453,5
PC4,0.032251261872407636,biological,gender,0.0002191317004418547,0.005638439029969464,-0.005419307329527609,0.8407960199004975,2
PC4,0.032251261872407636,biological,age,0.034059221080046,0.0217602222691324,0.012298998810913599,0.1890547263681592,5
PC4,0.032251261872407636,biological,percentage of body fat,0.06454509887501181,0.022216747882467337,0.04232835099254447,0.014925373134328358,5
PC4,0.032251261872407636,biological,ethnicity,0.061256622847877695,0.016445579850050976,0.04481104299782672,0.01990049751243781,4
PC4,0.032251261872407636,composition,Neutrophils,0.013571734064921626,0.02297267867698969,-0.009400944612068064,0.6517412935323383,5
PC4,0.032251261872407636,composition,T Cells Naive,0.08354260153182302,0.021097690938092602,0.06244491059373042,0.009950248756218905,5
PC4,0.032251261872407636,composition,B Cells,0.04529125704073045,0.02138622054877147,0.023905036491958978,0.06467661691542288,5
PC4,0.032251261872407636,composition,NK Cells,0.11135225552371142,0.02229671188521209,0.08905554363849932,0.004975124378109453,5
PC4,0.032251261872407636,composition,Platelets,0.014615158566884778,0.02288355959450449,-0.00826840102761971,0.6368159203980099,5
PC4,0.032251261872407636,composition,Monocytes,0.020454063826294555,0.022225029950594378,-0.0017709661242998227,0.4925373134328358,5
PC5,0.02804147727756575,technical,plate id,0.39042755074905167,0.08381808502516958,0.3066094657238821,0.004975124378109453,17
PC5,0.02804147727756575,technical,chip_position,0.025140709504067216,0.05734077342262386,-0.03220006391855664,0.945273631840796,12
PC5,0.02804147727756575,technical,batch effect_date,5.551115123125783e-16,0.022754574043812256,-0.0227545740438117,1.0,5
PC5,0.02804147727756575,technical,rna integrity score,0.005780653805280367,0.02211621834443061,-0.016335564539150242,0.9601990049751243,5
PC5,0.02804147727756575,biological,gender,0.08246116210019794,0.005145787791723243,0.0773153743084747,0.004975124378109453,2
PC5,0.02804147727756575,biological,age,0.0368212932436186,0.019988661469823407,0.016832631773795195,0.1044776119402985,5
PC5,0.02804147727756575,biological,percentage of body fat,0.04287664951450465,0.021743329835146243,0.021133319679358407,0.06965174129353234,5
PC5,0.02804147727756575,biological,ethnicity,0.008476553433748202,0.016272692487246897,-0.007796139053498696,0.6517412935323383,4
PC5,0.02804147727756575,composition,Neutrophils,0.012627167273819406,0.02094310838671224,-0.008315941112892834,0.6915422885572139,5
PC5,0.02804147727756575,composition,T Cells Naive,0.022161611511483104,0.02181115011849736,0.00035046139298574447,0.3681592039800995,5
PC5,0.02804147727756575,composition,B Cells,0.004597813001171791,0.020989636488399955,-0.016391823487228164,0.9552238805970149,5
PC5,0.02804147727756575,composition,NK Cells,0.05183404634770805,0.022139278816065526,0.029694767531642526,0.06965174129353234,5
PC5,0.02804147727756575,composition,Platelets,0.04716578442932495,0.022132079566197404,0.02503370486312755,0.0845771144278607,5
PC5,0.02804147727756575,composition,Monocytes,0.04468608238627747,0.02183261231165626,0.02285347007462121,0.07462686567164178,5
